,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Autocrat of the Breakfast-Table,0.11467864364385605,106236.0,28.412567138671875,135.01979064941406,0.07379679381847382,0.05614973232150078,0.260962575674057,0.5293946266174316,1.388074517250061,0.4473094642162323,0.5061315894126892,65.6135482788086,9.930399894714355,0.016346456483006477,0.014887307770550251,0.01367119699716568,0.09369131922721863,0.0011293517891317606,0.06070062145590782,0.1785767674446106,180.55810546875,9.61489200592041,8.664920806884766,3.41
The Works of Edgar Allan Poe ,0.09432438015937805,106473.0,27.678970336914062,134.26904296875,0.03353262320160866,0.02495451085269451,0.27268001437187195,0.46757829189300537,1.4976747035980225,0.46548184752464294,0.4925770163536072,56.5305290222168,11.151000022888184,0.0003990644181612879,0.012838101014494896,-0.0123071800917387,0.07961916923522949,0.00153156032320112,0.06737759709358215,0.16912062466144562,197.0966033935547,9.470236778259277,9.169261932373047,4.5
The Works of Edgar Allan Poe ,0.09543851017951965,113099.0,27.446008682250977,132.26934814453125,0.05387042090296745,0.031303081661462784,0.18854646384716034,0.46143779158592224,1.4855782985687256,0.4629022777080536,0.4935745894908905,57.715003967285156,10.946353912353516,-0.003909243270754814,0.014564167708158493,-0.004949754104018211,0.0873296931385994,0.00024169142125174403,0.07070650160312653,0.161850705742836,203.46873474121094,9.51170825958252,9.280740737915039,4.5
The Works of Edgar Allan Poe ,0.08228056132793427,115410.0,30.586910247802734,149.2074737548828,0.037095919251441956,0.01722310483455658,0.13725490868091583,0.431414932012558,1.4731829166412354,0.4787498116493225,0.490617573261261,55.51680374145508,12.04764461517334,0.0007544953259639442,0.010594988241791725,0.016598494723439217,0.07970620691776276,0.0003628032573033124,0.07211745530366898,0.17031645774841309,173.38868713378906,9.42951774597168,9.151467323303223,4.5
The Works of Edgar Allan Poe ,0.10905446857213974,95301.0,23.60584259033203,112.40406036376953,0.07427581399679184,0.032681357115507126,0.24882397055625916,0.5001052618026733,1.500223159790039,0.44989240169525146,0.4846123456954956,60.21245193481445,9.683500289916992,0.013041592203080654,0.017016040161252022,0.01085262093693018,0.08541430532932281,0.0010585836134850979,0.07042830437421799,0.1664796620607376,210.0803680419922,9.592134475708008,9.017143249511719,4.5
The Works of Edgar Allan Poe ,0.11866302043199539,88528.0,25.812355041503906,126.33129119873047,0.17103730142116547,0.05419580265879631,0.2913752794265747,0.5112598538398743,1.4284404516220093,0.4220321476459503,0.47407180070877075,64.70469665527344,9.443778991699219,0.004125474486500025,0.025354957208037376,0.007530615199357271,0.08720660954713821,0.0008337185718119144,0.0713382363319397,0.1637139618396759,218.5743865966797,9.696318626403809,9.075628280639648,4.5
Thankful Blossom,0.1553250551223755,23042.0,25.156112670898438,118.60371398925781,0.034934498369693756,0.030567685142159462,0.5251091718673706,0.5832110643386841,1.4319190979003906,0.4189295470714569,0.4683537483215332,64.9835433959961,9.264603614807129,0.012484832666814327,0.01587909832596779,0.012484832666814327,0.09058301895856857,5.354628956411034e-05,0.06907448917627335,0.17458476126194,313.18621826171875,9.051718711853027,8.600523948669434,3.67
By Shore and Sedge,0.12190024554729462,49762.0,21.265811920166016,98.73290252685547,0.036752138286828995,0.03504273667931557,0.5388888716697693,0.5201048851013184,1.4276843070983887,0.42674997448921204,0.4534364938735962,68.45133972167969,8.019841194152832,0.007302199024707079,0.014975757338106632,0.005353188142180443,0.0838879868388176,0.001158235827460885,0.06621821969747543,0.19254231452941895,221.73312377929688,9.347587585449219,8.89716625213623,3.4
Drift from Two Shores,0.12072765082120895,69429.0,22.44053077697754,103.20523834228516,0.0627020075917244,0.03361344709992409,0.49095022678375244,0.5255754590034485,1.4349415302276611,0.4247101843357086,0.45805761218070984,67.04657745361328,8.409327507019043,0.005862032063305378,0.0173471849411726,0.010678804479539394,0.08873778581619263,0.00016054861771408468,0.06795801967382431,0.18016931414604187,221.2266845703125,9.583771705627441,8.795889854431152,4.0
In a Hollow of the Hills,0.11304017901420593,47461.0,22.303571701049805,102.83552551269531,0.06860902160406113,0.03195488825440407,0.4971804618835449,0.5115504860877991,1.4044402837753296,0.4568213224411011,0.46573692560195923,69.41404724121094,8.131234169006348,-0.0005854101618751884,0.013779900036752224,-0.0012142257764935493,0.07662954926490784,0.0003332776250317693,0.0730142816901207,0.18707360327243805,209.837646484375,9.190775871276855,8.33217716217041,4.04
Maruja,0.11352572590112686,51354.0,19.648183822631836,90.43594360351562,0.07456979155540466,0.03556405380368233,0.523135781288147,0.5101930499076843,1.431674838066101,0.42949727177619934,0.46838510036468506,69.5277099609375,7.523629665374756,0.0022603939287364483,0.021847305819392204,0.00530888419598341,0.08099932223558426,0.0001438756298739463,0.06809910386800766,0.18686456978321075,211.82794189453125,9.290708541870117,8.395768165588379,3.86
A Ward of the Golden Gate,0.10708823800086975,58195.0,22.172189712524414,102.34666442871094,0.06628571450710297,0.049142856150865555,0.5318095088005066,0.5239067673683167,1.4332847595214844,0.4443908631801605,0.47248801589012146,67.27314758300781,8.356576919555664,0.01765586994588375,0.016801215708255768,0.015791792422533035,0.08354099094867706,0.002386839594691992,0.0720289796590805,0.18833167850971222,187.49365234375,9.262785911560059,8.616719245910645,4.0
In the Carquinez Woods,0.11557637155056,46333.0,18.896411895751953,85.1337661743164,0.05179445445537567,0.0375203900039196,0.5106036067008972,0.5286524295806885,1.387270212173462,0.4506012499332428,0.4717874526977539,73.99980926513672,6.724743843078613,-0.007475106976926327,0.01654941961169243,-0.009931669570505619,0.0806935727596283,8.03271250333637e-05,0.07306825369596481,0.19531230628490448,208.36990356445312,9.21854305267334,8.259282112121582,3.86
Trent's Trust,0.09059123694896698,94954.0,22.86994171142578,106.71531677246094,0.07129094749689102,0.026974951848387718,0.5091522336006165,0.4823414385318756,1.4259744882583618,0.45224401354789734,0.46051886677742004,67.18244171142578,8.542799949645996,0.0069752405397593975,0.016292177140712738,0.010274507105350494,0.0823187381029129,0.0004113967006560415,0.07252228260040283,0.188974529504776,169.07461547851562,9.463642120361328,8.61572551727295,3.6
