,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Return of Sherlock Holmes,0.061827559,134956,17.24661446,76.51533508,0.023255814,0.02555584,0.485177606,0.436789036,1.340525508,0.481709689,0.501592577,79.012146,5.766738892,0.005822905,0.020463981,0.013587736,0.074411452,0.000107975,0.065800346,0.198804855,131.6365509,9.151438713,7.735582352,4.31
The Haunted Hotel,0.077456869,73783,17.05776405,79.86968231,0.031885397,0.04112754,0.42352125,0.429310352,1.43036437,0.460250229,0.4837569,71.568573,6.766591549,-0.001694748,0.019001206,-0.002216243,0.071158394,1.78E-09,0.057555158,0.199822336,168.885849,9.032155991,8.099243164,3.46
The Innocence of Father Brown,0.086055167,94544,21.47070885,98.72457123,0.007720254,0.024750227,0.482061774,0.474554211,1.373805165,0.450626075,0.461925238,72.55150604,7.560049534,-0.006454387,0.014576269,-0.007702186,0.091387987,0.000127618,0.07104554,0.181589857,169.0019073,9.367154121,8.00067997,3.85
The Return of Sherlock Holmes,0.062151887,134654,17.11846924,76.35515594,0.024024406,0.024787085,0.485318422,0.436434627,1.339527965,0.482551336,0.501964509,79.16069031,5.730317116,0.005812651,0.019940408,0.013863519,0.074165806,9.89E-05,0.065516487,0.198832825,131.666748,9.143918991,7.733118057,4.31
The Wisdom of Father Brown,0.094515838,85446,23.00349998,106.2527618,0.012113055,0.023956932,0.494212657,0.487811387,1.379982829,0.46047017,0.469741046,70.64389038,8.16510582,-0.010275914,0.013811376,-0.009867382,0.089478202,0.00011241,0.07282757,0.182174802,177.1220551,9.353772163,8.199345589,3.87
A Study in Scarlet,0.114058711,52359,18.99528503,86.72651672,0.008705114,0.015959376,0.450126946,0.527563274,1.370327711,0.476324588,0.494699717,74.92961121,6.718299866,-0.004083266,0.015607945,-0.006174956,0.071325287,0.000138271,0.060470868,0.198533952,201.1721954,9.187973976,8.077403069,4.15
The Count's Millions,0.061987609,137834,19.63532829,91.12008667,0.057692308,0.047435898,0.494159549,0.401899517,1.433054566,0.463655829,0.477652252,69.33010101,7.570988178,-0.0073339,0.023990294,-0.005485399,0.072256379,0.005234766,0.069687784,0.20800589,126.5442123,9.320947647,8.440563202,3.97
Where There's a Will,0.061309129,83185,16.94195557,69.89897919,0.033808555,0.016904278,0.628920555,0.449244976,1.269758344,0.469406575,0.504595697,86.07642365,4.517716885,0.000800565,0.02394945,0.004021172,0.061039295,0.000170579,0.067828164,0.221216232,144.4537048,8.770997047,7.415793896,3.58
In the Bishop's Carriage,0.071479172,69167,16.25041199,65.98284912,0.080573171,0.065774016,0.56283766,0.495816827,1.244846463,0.467969388,0.516331732,88.65907288,4.041204453,0.002654095,0.026856998,-0.002546313,0.072353944,0.000148305,0.072687745,0.208794698,152.4078217,8.753664017,7.349025726,3.55
Tales of Terror and Mystery,0.089075111,86994,21.2434082,98.88720703,0.020751953,0.021972656,0.338623047,0.475096852,1.37553668,0.484054744,0.500160992,71.99635315,7.737504959,-0.000541216,0.016778525,-0.000519951,0.079058506,0.0003757,0.062313128,0.188052937,169.7771454,9.219185829,8.14008522,3.85
Baron Trigault's Vengeance,0.059161201,142847,18.58625984,85.87431335,0.083658598,0.05815769,0.506765544,0.399344504,1.425125599,0.467114478,0.483917892,70.83585358,7.156602859,-0.009100438,0.026121961,-0.016293224,0.06935183,0.005587456,0.071944334,0.207721367,122.1131058,9.279230118,8.38841629,4.07
