,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Song of Hiawatha,0.10454057157039642,39114.0,34.770668029785156,165.33599853515625,0.228444442152977,0.02755555510520935,0.5031111240386963,0.4126253128051758,1.3821533918380737,0.3530283272266388,0.4577198922634125,61.71579360961914,11.550662994384766,-0.0010718379635363817,0.020896369591355324,-0.018032094463706017,0.07214812189340591,0.0002569142379797995,0.0461217425763607,0.1685785949230194,280.49627685546875,8.940804481506348,9.339030265808105,3.9
Paradise Lost,0.10769570618867874,94962.0,59.24204635620117,293.8827209472656,0.03181534633040428,0.16032439470291138,0.6862133741378784,0.5004191994667053,1.3417361974716187,0.36107826232910156,0.39845868945121765,43.6157112121582,19.342267990112305,-0.0019084427040070295,0.031664859503507614,-0.011082439683377743,0.11954744160175323,0.0003184543165843934,0.06865863502025604,0.14442606270313263,162.80642700195312,9.990878105163574,11.274962425231934,3.81
Paradise Lost,0.09664929658174515,96338.0,51.65629959106445,245.40589904785156,0.13351206481456757,0.15924933552742004,0.21715818345546722,0.4724365472793579,1.3655483722686768,0.36675694584846497,0.4091261923313141,47.8360481262207,17.227598190307617,-1.9238486856920645e-05,0.023572523146867752,-0.009924427606165409,0.11389733850955963,0.000175266875885427,0.06790271401405334,0.16209495067596436,155.74517822265625,9.939873695373535,10.594188690185547,3.81
Paradise Regained,0.19301891326904297,19252.0,42.12910461425781,209.83151245117188,0.07439824938774109,0.17067833244800568,0.4354485869407654,0.6178723573684692,1.3565552234649658,0.3678538501262665,0.4240359961986542,57.51156234741211,13.696126937866211,0.00930063333362341,0.024615135043859482,0.009782334789633751,0.10399189591407776,0.00012854597298428416,0.07044138014316559,0.1671055257320404,388.482666015625,9.433303833007812,10.227697372436523,3.65
The Rime of the Ancient Mariner,0.2337164729833603,4698.0,19.02024269104004,89.49392700195312,0.32793521881103516,0.05263157933950424,0.25506073236465454,0.5607385635375977,1.1679831743240356,0.3829551637172699,0.45497629046440125,92.41645812988281,4.189043045043945,-0.01955903321504593,0.02342447079718113,-0.01955903321504593,0.09244444221258163,0.00026333032292313874,0.06531607359647751,0.19172382354736328,571.4531860351562,8.418838500976562,7.679404258728027,3.94
The Spell of the Yukon and Other Verses,0.18254509568214417,16133.0,33.68058395385742,154.51983642578125,0.15448851883411407,0.07515657693147659,0.5114822387695312,0.5791022777557373,1.2109062671661377,0.4292290508747101,0.48840245604515076,76.80297088623047,9.299529075622559,-0.007928665727376938,0.023455282673239708,-0.01284118089824915,0.07343260198831558,0.00015363005513790995,0.05169472470879555,0.18757233023643494,403.9491271972656,8.880735397338867,8.54776668548584,4.3
The Man from Snowy River,0.150904580950737,28190.0,28.25050163269043,135.2915802001953,0.07815631479024887,0.06412825733423233,0.531062126159668,0.5420026183128357,1.2475812435150146,0.4264545738697052,0.4704561233520508,77.74325561523438,8.1788330078125,0.0011819000355899334,0.015205245465040207,0.00488907378166914,0.07101215422153473,4.319944855524227e-05,0.05710313096642494,0.17899911105632782,306.914306640625,9.097826957702637,8.129011154174805,4.0
In the Days When the World Was Wide,0.13711042702198029,33659.0,29.63468360900879,136.7684783935547,0.13644365966320038,0.04137323796749115,0.5308098793029785,0.5266373157501221,1.243050217628479,0.4150174856185913,0.4733237624168396,77.40676879882812,8.401945114135742,-0.0030845862347632647,0.018159644678235054,0.002554452046751976,0.07401122897863388,0.00022092282597441226,0.06035042181611061,0.17659629881381989,280.1889343261719,9.10809326171875,8.346126556396484,3.0
Aeneidos,0.2207433581352234,76410.0,23.395591735839844,139.7250518798828,0.021739130839705467,0.09889773279428482,0.19626455008983612,0.5561455488204956,2.111363649368286,0.01894955523312092,0.024031706154346466,8.531142234802246,16.88681983947754,0.027755089104175568,0.026120837777853012,0.027074404060840607,0.15579672157764435,0.03135806322097778,0.018869472667574883,0.06672945618629456,442.27374267578125,12.27550220489502,19.97520637512207,3.83
The Aeneid,0.06422045826911926,134085.0,30.852737426757812,142.9532928466797,0.08467556536197662,0.062356188893318176,0.7521859407424927,0.37661370635032654,1.309105396270752,0.34327253699302673,0.395487517118454,71.68685150146484,9.231980323791504,-0.010539931245148182,0.016018960624933243,-0.01862817071378231,0.0975547656416893,0.00024918498820625246,0.04547909274697304,0.15909546613693237,159.17112731933594,9.755146026611328,9.86293888092041,3.83
The Bucolics and Eclogues,0.3877156674861908,7245.0,21.12244987487793,114.13119506835938,0.0903790071606636,0.1166180744767189,0.08163265138864517,0.7187953591346741,2.018847703933716,0.01819923333823681,0.02364864945411682,19.398027420043945,14.627039909362793,-0.00489218533039093,0.01931820437312126,-0.00489218533039093,0.18689501285552979,0.024537740275263786,0.018144644796848297,0.07239671051502228,1580.088134765625,10.495529174804688,19.72597312927246,3.0
The Bucolics and Eclogues,0.23151884973049164,10159.0,27.309139251708984,125.46236419677734,0.1666666716337204,0.11559139937162399,0.4650537669658661,0.6036931872367859,1.298788070678711,0.3533692955970764,0.42184022068977356,74.89492797851562,8.212956428527832,0.004987317603081465,0.019530702382326126,0.004987317603081465,0.09252867847681046,0.00012670514115598053,0.06641332805156708,0.17772352695465088,495.6989440917969,9.167008399963379,9.555520057678223,3.0
Georgicon,0.41702961921691895,16301.0,29.108928680419922,180.51785278320312,0.01785714365541935,0.04642857238650322,0.008928571827709675,0.7032334208488464,2.093010187149048,0.020224839448928833,0.02473224326968193,4.043341636657715,18.991233825683594,-0.0011017628712579608,0.01576930470764637,-0.0011017628712579608,0.1585465371608734,0.03318772092461586,0.024807386100292206,0.06533101201057434,1492.4874267578125,11.61773681640625,20.217327117919922,3.5
The Georgics,0.21071040630340576,24873.0,42.44539260864258,207.67234802246094,0.10068259388208389,0.07167235761880875,0.48634812235832214,0.559203565120697,1.2878050804138184,0.347569078207016,0.40868422389030457,62.26469039916992,13.293370246887207,-0.004224881529808044,0.011340741068124771,-0.007140814792364836,0.10095101594924927,5.0237660616403446e-05,0.05752332881093025,0.1555025428533554,441.6438903808594,9.742507934570312,10.48445987701416,3.86
Troilus and Criseyde,0.07344252616167068,81751.0,33.53240203857422,187.52133178710938,0.16817063093185425,0.12059064954519272,0.2383100837469101,0.5051227807998657,1.195233941078186,0.33873626589775085,0.40721601247787476,78.97100067138672,8.79101276397705,0.02781885489821434,0.045685265213251114,0.02826458401978016,0.09065461158752441,0.0009187656687572598,0.06450249999761581,0.17828455567359924,128.86854553222656,8.935065269470215,12.34356689453125,3.78
Poems by Adam Lindsay Gordon,0.11192149668931961,75821.0,24.74127197265625,117.8486099243164,0.2251223474740982,0.14616639912128448,0.3804241418838501,0.48490944504737854,1.2705992460250854,0.37670934200286865,0.4480130672454834,79.26715850830078,7.116673469543457,-0.0147819509729743,0.02635771967470646,-0.01959746517241001,0.09170239418745041,0.0004454053705558181,0.06286706775426865,0.1759650707244873,213.0074462890625,9.790775299072266,8.961904525756836,3.0
Ballads of a Cheechako,0.1689491719007492,22782.0,29.47606658935547,137.27554321289062,0.09443725645542145,0.06468304991722107,0.4294954836368561,0.5706673860549927,1.2166880369186401,0.4265745282173157,0.4821658134460449,79.3856201171875,8.18746280670166,-0.03584502637386322,0.018324974924325943,-0.03430415317416191,0.07851818948984146,0.00010713611118262634,0.052113477140665054,0.17229948937892914,356.3823547363281,8.996668815612793,8.468362808227539,4.45
Trees,0.26329460740089417,7315.0,20.728044509887695,103.77336883544922,0.11331444978713989,0.09065155684947968,0.277620404958725,0.6322580575942993,1.2717512845993042,0.3967815637588501,0.43534690141677856,81.29975128173828,6.311821460723877,0.006247376557439566,0.02067870832979679,0.006247376557439566,0.10063748061656952,0.0004807093646377325,0.050160568207502365,0.16955171525478363,631.0739135742188,9.059394836425781,8.29583740234375,4.26
Main Street,0.23720817267894745,8267.0,27.203947067260742,129.3157958984375,0.11184210330247879,0.07236842066049576,0.30921053886413574,0.6094832420349121,1.280751347541809,0.4110192358493805,0.45417314767837524,74.8412857055664,8.607043266296387,0.006355649791657925,0.02166719362139702,0.006355649791657925,0.09096182137727737,0.0002825138799380511,0.042373981326818466,0.16624340415000916,532.8388671875,8.89434814453125,8.48232364654541,3.76
The Ballad of Reading Gaol,0.12801027297973633,9343.0,35.80076599121094,227.31800842285156,0.19157087802886963,0.05747126415371895,0.29885056614875793,0.044541485607624054,1.167895793914795,0.4238152503967285,0.4748033285140991,76.3910140991211,10.348411560058594,-0.042940784245729446,0.025168515741825104,-0.042940784245729446,0.0801488384604454,3.4723928621360756e-08,0.04253225028514862,0.18241964280605316,512.511474609375,8.420129776000977,8.107372283935547,4.26
Rhymes of a Rolling Stone,0.14636284112930298,28525.0,18.548114776611328,84.57347106933594,0.2308192402124405,0.061768531799316406,0.34590378403663635,0.5658666491508484,1.207139015197754,0.39488521218299866,0.4666486382484436,90.068115234375,4.280586242675781,-0.0065307593904435635,0.0328877829015255,-0.007030759006738663,0.08378764241933823,0.0002253470302093774,0.06156672537326813,0.17762675881385803,283.2357482910156,9.135239601135254,7.85762357711792,4.36
Children of the Night,0.1735897958278656,14661.0,28.747058868408203,145.6999969482422,0.13921569287776947,0.10980392247438431,0.2235294133424759,0.57265305519104,1.257326364517212,0.4394835829734802,0.4898434281349182,75.67729949951172,8.770862579345703,-0.012740207836031914,0.02418317273259163,-0.01272981520742178,0.08093807846307755,0.000160596173373051,0.06399530917406082,0.1821098029613495,348.58349609375,8.856719017028809,8.419100761413574,3.71
Rhymes of a Red Cross Man,0.14546310901641846,31850.0,18.33966636657715,76.79389953613281,0.20667818188667297,0.06044904887676239,0.4939551055431366,0.5769898295402527,1.2083473205566406,0.39940351247787476,0.4898275136947632,90.65008544921875,4.031952381134033,-0.008959364145994186,0.030748285353183746,-0.018534958362579346,0.08410419523715973,0.000920971215236932,0.06082819774746895,0.18210741877555847,289.80853271484375,9.046257972717285,8.242986679077148,4.2
The Culprit Fay,0.21155089139938354,13921.0,32.9219856262207,153.813232421875,0.22458629310131073,0.0520094558596611,0.4231678545475006,0.5660649538040161,1.2477853298187256,0.35813072323799133,0.4178391396999359,73.64421081542969,9.749610900878906,-0.0029497602954506874,0.018850401043891907,-0.001359206740744412,0.09059268236160278,8.693077688803896e-05,0.04803377017378807,0.16225309669971466,477.04315185546875,9.209181785583496,9.177523612976074,3.0
Verses 1889-1896,0.11221141368150711,68870.0,25.480207443237305,113.9974136352539,0.2711801826953888,0.056603774428367615,0.594524621963501,0.5160452127456665,1.209543228149414,0.38814809918403625,0.4807502329349518,84.74687957763672,6.275417327880859,0.0033208143431693316,0.018657388165593147,0.01914285682141781,0.0720030888915062,0.0003040454466827214,0.04822985827922821,0.17507529258728027,226.6721954345703,9.351171493530273,8.22079086303711,3.42
A Heap o' Livin',0.1125749871134758,34839.0,36.17964553833008,167.18276977539062,0.032191067934036255,0.07372793555259705,0.6292834877967834,0.5032006502151489,1.2139960527420044,0.4478279948234558,0.5069509744644165,75.01740264892578,9.92163372039795,0.011731568723917007,0.024859266355633736,0.01427583210170269,0.0725172683596611,0.0001448231196263805,0.0661446750164032,0.19300466775894165,211.64649963378906,8.986903190612793,7.966581344604492,4.43
Hesiod,0.09544280916452408,110024.0,23.282604217529297,107.27520751953125,0.015007398091256618,0.01056858990341425,0.22426548600196838,0.4538109004497528,1.3874893188476562,0.3894839882850647,0.46291592717170715,70.87103271484375,7.922399520874023,0.01028860080987215,0.009234247729182243,0.0023968282621353865,0.07639726251363754,0.0005310936248861253,0.052324868738651276,0.1664649248123169,188.706298828125,9.438983917236328,9.21152400970459,3.75
In Flanders Fields,0.14523746073246002,33669.0,21.319215774536133,101.77560424804688,0.024020226672291756,0.011378002353012562,0.19595448672771454,0.5525445938110352,1.3719817399978638,0.451523095369339,0.4722984731197357,72.5376968383789,7.603113651275635,-0.005689488258212805,0.015748493373394012,0.004599466919898987,0.0817696750164032,0.0002464108110871166,0.05815038084983826,0.17336031794548035,267.27874755859375,9.260503768920898,8.319387435913086,4.14
Jerusalem Delivered,0.056918736547231674,151321.0,61.89079666137695,299.2004089355469,0.0453987717628479,0.1182004064321518,0.6139059066772461,0.3748946785926819,1.2487648725509644,0.3678206503391266,0.3938308656215668,48.674766540527344,19.323497772216797,-0.003073350293561816,0.01923840120434761,-0.010666671209037304,0.09848998486995697,0.00018972376710735261,0.05747036263346672,0.18016596138477325,112.26770782470703,9.868948936462402,10.819995880126953,3.88
