,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Time Machine,0.1282820701599121,37324.0,19.409255981445312,91.9043197631836,0.02548101916909218,0.02652106061577797,0.23400935530662537,0.5244474411010742,1.4002131223678589,0.47398263216018677,0.48316508531570435,71.54052734375,7.401688575744629,-0.014730878174304962,0.013992220163345337,-0.02443310059607029,0.08659134060144424,0.0001253997179446742,0.06922300904989243,0.18512587249279022,249.28904724121094,9.028295516967773,8.504511833190918,3.88
The War of the Worlds,0.09922103583812714,69451.0,20.88842010498047,100.11518859863281,0.027067668735980988,0.013533834367990494,0.203909769654274,0.47641438245773315,1.403546690940857,0.4488120973110199,0.47245505452156067,69.84784698486328,7.983053207397461,-0.01941518858075142,0.011665711179375648,-0.018742963671684265,0.07653846591711044,0.00011710791295627132,0.05847041681408882,0.18063044548034668,212.48854064941406,9.265372276306152,8.522502899169922,3.81
The Strange Case of Dr,0.13296891748905182,30917.0,26.18289566040039,117.23200988769531,0.017781540751457214,0.03725656121969223,0.46062660217285156,0.5593839883804321,1.3490245342254639,0.467058926820755,0.4927730858325958,70.94475555419922,8.690539360046387,-0.0027375316713005304,0.014017543755471706,-0.0023632473312318325,0.07570794224739075,7.898733019828796e-05,0.0698230192065239,0.18743309378623962,259.88092041015625,8.8993558883667,8.309195518493652,3.8
The Strange Case of Dr,0.13002903759479523,30647.0,25.93231773376465,115.95685577392578,0.017766498029232025,0.03637901693582535,0.4593908488750458,0.5607041120529175,1.3512704372406006,0.4764927327632904,0.4910380244255066,70.71906280517578,8.730752944946289,-0.003480558982118964,0.013627506792545319,-0.002815461717545986,0.07622910290956497,7.87897952250205e-05,0.06968957185745239,0.18724393844604492,256.457275390625,8.914909362792969,8.328106880187988,3.8
A Princess of Mars,0.08789527416229248,75169.0,31.74408721923828,155.21115112304688,0.01309121586382389,0.01182432472705841,0.22719594836235046,0.44649791717529297,1.4087393283843994,0.4838167428970337,0.4932476580142975,58.83616638183594,12.106620788574219,-0.007300416938960552,0.012303630821406841,-0.0028111091814935207,0.08098453283309937,5.949311162112281e-05,0.05785694718360901,0.1778688132762909,177.87144470214844,9.249300956726074,9.367603302001953,3.8
The Gods of Mars,0.07492927461862564,93675.0,22.849512100219727,108.40390014648438,0.016829269006848335,0.01170731708407402,0.31487804651260376,0.43933117389678955,1.3621156215667725,0.4725722074508667,0.49238118529319763,71.177978515625,8.329858779907227,-0.011569567024707794,0.013593660667538643,-0.009811151772737503,0.07873493432998657,3.636744440882467e-05,0.059751227498054504,0.1782597005367279,167.99720764160156,9.214860916137695,8.735044479370117,3.87
Warlord of Mars,0.0914345532655716,64013.0,29.17730140686035,140.39471435546875,0.020966270938515663,0.026891522109508514,0.2702825963497162,0.4620152413845062,1.3710604906082153,0.4801671504974365,0.4870990216732025,64.45050811767578,10.72957992553711,-0.006182837300002575,0.01107711624354124,-0.00041637319372966886,0.08094792068004608,0.00015775699284859002,0.05777493119239807,0.1755508929491043,190.61326599121094,9.118175506591797,9.058205604553223,3.86
Thuvia,0.09897517412900925,54741.0,18.078929901123047,86.61393737792969,0.027080580592155457,0.028071334585547447,0.29194188117980957,0.48767808079719543,1.3902465105056763,0.4392556846141815,0.46213120222091675,73.472900390625,6.865575790405273,-0.013894514180719852,0.0181733351200819,-0.013886493630707264,0.07848526537418365,0.00012772271293215454,0.05677248537540436,0.17800195515155792,211.00753784179688,9.132333755493164,8.617538452148438,3.75
From the Earth to the Moon; and,0.07858820259571075,110271.0,20.241695404052734,98.68104553222656,0.052119653671979904,0.035419341176748276,0.4066801369190216,0.4368821382522583,1.520857334136963,0.41831132769584656,0.4683198630809784,61.389530181884766,8.803964614868164,-0.004831685684621334,0.012972523458302021,-0.010220780037343502,0.07856849581003189,0.00022200656530912966,0.06121855229139328,0.17426492273807526,184.938720703125,9.374639511108398,9.014510154724121,3.78
Frankenstein; Or,0.08368631452322006,85462.0,25.819637298583984,125.37612915039062,0.06132930517196655,0.05528700724244118,0.20060423016548157,0.42809703946113586,1.4495735168457031,0.47211384773254395,0.49914440512657166,61.2633056640625,10.328496932983398,-0.009561188519001007,0.019190864637494087,-0.025681203231215477,0.07486535608768463,0.00030748138669878244,0.06197777017951012,0.1939810961484909,173.23959350585938,9.275189399719238,9.357486724853516,3.78
